Description,SKU,Price,Info 1,Info 2,Image URL,Image Link
Headlamp and Fog Lamp kit,H2101-P-UUSD,$44.29,,,https://www.xpel.com/product-images/H2101-P-U_00.gif,https://www.xpel.com/product/552145
Headlamp and Fog Lamp kit ( XUPL),H2101-P-XUPLUSD,$44.67,,,https://www.xpel.com/product-images/H2101-P-XUPL_00.gif,https://www.xpel.com/Headlamp-and-Fog-Lamp-kit-ULTIMATE-PLUS-XUPL_58
